"id","curso","aula","link1","link2","tempo"
3551,"PRÁTICA COM PARKS","ONU GPON Router com Wi-fi","https://b-vz-05e06853-571.tv.pandavideo.com.br/d53845da-b8d4-4d87-b627-29fce55616b3/playlist.m3u8",NULL,"00:12:52"
3546,"PRÁTICA COM PARKS","Quem é a Parks?","https://b-vz-05e06853-571.tv.pandavideo.com.br/d313eef3-4937-4ec8-9dd9-2208f64257cb/playlist.m3u8",NULL,"00:05:30"
3547,"PRÁTICA COM PARKS","Portifólio de produtos GPON","https://b-vz-05e06853-571.tv.pandavideo.com.br/5e04f68f-b860-4227-89e7-2bf4cd43767e/playlist.m3u8",NULL,"00:15:25"
3548,"PRÁTICA COM PARKS","Portifólio de produtos XGS-GPON","https://b-vz-05e06853-571.tv.pandavideo.com.br/829a4807-050d-4a88-a5a3-8e095097e1df/playlist.m3u8",NULL,"00:16:02"
3549,"PRÁTICA COM PARKS","Ligando a OLT na rede","https://b-vz-05e06853-571.tv.pandavideo.com.br/0644d5c4-0b25-45a3-b2af-433fb2d33cde/playlist.m3u8",NULL,"00:23:29"
3550,"PRÁTICA COM PARKS","ONU GPON Bridge + Roteador Wi-Fi","https://b-vz-05e06853-571.tv.pandavideo.com.br/10ab7894-142b-40f8-8558-f9cdc13eb4c4/playlist.m3u8",NULL,"00:30:06"
3552,"PRÁTICA COM PARKS","ONU GPON TRUNK","https://b-vz-05e06853-571.tv.pandavideo.com.br/99e7ccfb-c4d2-4b2d-b1ab-fa684d72042b/playlist.m3u8",NULL,"00:11:21"
3553,"PRÁTICA COM PARKS","OLT XGS-PON Stand Alone + ONT Wi-Fi 6","https://b-vz-05e06853-571.tv.pandavideo.com.br/1d9a5e35-5e24-4725-9c9e-afb56e768abd/playlist.m3u8",NULL,"00:24:29"
3554,"PRÁTICA COM PARKS","OLT XGS-PON Microplug + ONT Wi-Fi 6","https://b-vz-05e06853-571.tv.pandavideo.com.br/ea168ce1-1b6b-48d7-996e-829cb380a1ce/playlist.m3u8",NULL,"00:19:29"
3555,"PRÁTICA COM PARKS","ONU XGS-PON Stick","https://b-vz-05e06853-571.tv.pandavideo.com.br/744203ce-335e-40cd-ad73-f9dc95d59279/playlist.m3u8",NULL,"00:07:43"
3556,"PRÁTICA COM PARKS","O que é possível fazer com software próprio?","https://b-vz-05e06853-571.tv.pandavideo.com.br/2f0c79ae-1f94-477e-92d4-43260dd17d75/playlist.m3u8",NULL,"00:15:24"
3557,"PRÁTICA COM PARKS","Monitoramento software externo","https://b-vz-05e06853-571.tv.pandavideo.com.br/3c1a9439-3282-4407-aa7a-a834d62ec174/playlist.m3u8",NULL,"00:03:56"
3805,"Prática com RAISECOM","Configurando ALS – Automatic Laser Shutdown","https://b-vz-05e06853-571.tv.pandavideo.com.br/7847d8b7-34b5-4ab6-9745-469909c7ba75/playlist.m3u8",NULL,"00:05:36"
3806,"Prática com RAISECOM","Configurando Amplificadores","https://b-vz-05e06853-571.tv.pandavideo.com.br/11ad4f06-2242-48cd-ad99-33c58e8830ac/playlist.m3u8",NULL,"00:09:02"
3807,"Prática com RAISECOM","Alarmes e Backups","https://b-vz-05e06853-571.tv.pandavideo.com.br/85ade286-cc06-49c0-abc6-e1c34bc93477/playlist.m3u8",NULL,"00:13:41"
3808,"Prática com RAISECOM","Portifólio DWDM","https://b-vz-05e06853-571.tv.pandavideo.com.br/e18f0365-eeb7-4f8a-93f6-efac06bfc596/playlist.m3u8",NULL,"00:29:32"
3804,"Prática com RAISECOM","Configurando TRAP de Alarme","https://b-vz-05e06853-571.tv.pandavideo.com.br/4a308b42-a9b1-405c-90e6-204e76f67ad4/playlist.m3u8",NULL,"00:07:36"
3803,"Prática com RAISECOM","Estabelecendo Conexão DWDM","https://b-vz-05e06853-571.tv.pandavideo.com.br/8366575e-c48e-4cf2-bd56-acec891f3184/playlist.m3u8",NULL,"00:07:45"
2808,"VENDEDOR DE ELITE","BLOQUEIO DO TESÃO","https://www.youtube.com/watch?v=HePsnshJpU0&ab_channel=KeepLearningSchool",NULL,"01:04:17"
3577,"Prática com RAISECOM","Portfólio de produtos GPON e XGS-PON","https://b-vz-05e06853-571.tv.pandavideo.com.br/c2865862-1a19-4fe1-aa8c-47459dd38d7d/playlist.m3u8",NULL,"00:25:54"
3589,"Prática com RAISECOM","NView – Gerência RAISECOM","https://b-vz-05e06853-571.tv.pandavideo.com.br/c3f07e9b-748b-478a-8862-7afad9e56c57/playlist.m3u8",NULL,"00:21:05"
3588,"Prática com RAISECOM","Criando um LAN to LAN","https://b-vz-05e06853-571.tv.pandavideo.com.br/29fba931-c388-4f06-b08b-91f7c74eea05/playlist.m3u8",NULL,"00:04:10"
3587,"Prática com RAISECOM","Configurando Wi–Fi","https://b-vz-05e06853-571.tv.pandavideo.com.br/07f63140-61bd-4d2b-b946-e2732380be4b/playlist.m3u8",NULL,"00:06:44"
3586,"Prática com RAISECOM","Configurando VoIP","https://b-vz-05e06853-571.tv.pandavideo.com.br/741f56aa-d1c1-4d8a-b1f3-060b1037ee32/playlist.m3u8",NULL,"00:10:26"
3585,"Prática com RAISECOM","Registrando uma ONU Router PPPoE","https://b-vz-05e06853-571.tv.pandavideo.com.br/75c79a6e-70e3-442d-b87e-c6e4ca8c845e/playlist.m3u8",NULL,"00:14:00"
3584,"Prática com RAISECOM","Registrando uma ONU Bridge","https://b-vz-05e06853-571.tv.pandavideo.com.br/48eb54a3-e246-4876-91b2-1eb030e53834/playlist.m3u8",NULL,"00:16:33"
