"vitrine_id","vitrine_nome","vitrine_criado_em","vitrine_removido_em","produto_id_relacionado","produto_nome","prouto_criado_em","produto_removido_em","produto_meta","aulas_id","aula_nome","aula_link","aula_criado_em","aula_meta","aula_removido_em"
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15794","O que é a adequação da Rede e Como Funciona","https://b-vz-05e06853-571.tv.pandavideo.com.br/a987749d-edff-4b1a-bc54-69b5ca6c5b0f/playlist.m3u8","2021-05-04 14:24:53",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15795","Ancoragem e Tensionamento dos Cabos","https://b-vz-05e06853-571.tv.pandavideo.com.br/a41a799d-c493-4029-9271-f07588f31e37/playlist.m3u8","2021-05-04 14:25:13",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15797","Reservas Técnicas: Finalização do Lançamento do Cabo","https://b-vz-05e06853-571.tv.pandavideo.com.br/ea5bc079-75de-4844-9a45-3c4d3062d234/playlist.m3u8","2021-05-04 14:26:17",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1466","Fusão, montagem de caixas e DIO","2021-05-04 14:27:58",NULL,"{""vitrine_listagem"":""instancia_74\/image\/0Hp3TXbv6S1nQdPwcQowzC524bcWFAl1dvpnOW72.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15799","O que você deve saber antes de começar...","https://b-vz-05e06853-571.tv.pandavideo.com.br/2dc9e22c-a671-4563-82eb-3dbfd3409ce3/playlist.m3u8","2021-05-04 14:28:14",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1466","Fusão, montagem de caixas e DIO","2021-05-04 14:27:58",NULL,"{""vitrine_listagem"":""instancia_74\/image\/0Hp3TXbv6S1nQdPwcQowzC524bcWFAl1dvpnOW72.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15800","O Que é Uma Fusão e tipos de máquinas de fusão","https://b-vz-05e06853-571.tv.pandavideo.com.br/15888f55-e52f-48be-87b6-ec030c3a80ef/playlist.m3u8","2021-05-04 14:29:01",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1466","Fusão, montagem de caixas e DIO","2021-05-04 14:27:58",NULL,"{""vitrine_listagem"":""instancia_74\/image\/0Hp3TXbv6S1nQdPwcQowzC524bcWFAl1dvpnOW72.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15802","O Clivador","https://b-vz-05e06853-571.tv.pandavideo.com.br/4b0b163e-275e-4d72-9c99-c1cb741108cd/playlist.m3u8","2021-05-04 14:29:21",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1466","Fusão, montagem de caixas e DIO","2021-05-04 14:27:58",NULL,"{""vitrine_listagem"":""instancia_74\/image\/0Hp3TXbv6S1nQdPwcQowzC524bcWFAl1dvpnOW72.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15803","O Processo da Fusão e ferramentas de limpeza","https://b-vz-05e06853-571.tv.pandavideo.com.br/02aa687f-19d4-4705-a145-1a86f1f909cc/playlist.m3u8","2021-05-04 14:29:31",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1466","Fusão, montagem de caixas e DIO","2021-05-04 14:27:58",NULL,"{""vitrine_listagem"":""instancia_74\/image\/0Hp3TXbv6S1nQdPwcQowzC524bcWFAl1dvpnOW72.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15805","Ajuste das Ferramentas","https://b-vz-05e06853-571.tv.pandavideo.com.br/58849975-931e-4801-92db-40710bf66cb6/playlist.m3u8","2021-05-04 14:30:14",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1466","Fusão, montagem de caixas e DIO","2021-05-04 14:27:58",NULL,"{""vitrine_listagem"":""instancia_74\/image\/0Hp3TXbv6S1nQdPwcQowzC524bcWFAl1dvpnOW72.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15806","Sangria do Cabo e Espelhamento","https://b-vz-05e06853-571.tv.pandavideo.com.br/b21ad9d5-e32b-4bf0-9e02-96e2aaf59c98/playlist.m3u8","2021-05-04 14:30:23",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1466","Fusão, montagem de caixas e DIO","2021-05-04 14:27:58",NULL,"{""vitrine_listagem"":""instancia_74\/image\/0Hp3TXbv6S1nQdPwcQowzC524bcWFAl1dvpnOW72.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15809","Montagem de CEO","https://b-vz-05e06853-571.tv.pandavideo.com.br/06556071-9d8c-4117-b577-facb8bdf9ec2/playlist.m3u8","2021-05-04 14:31:20",NULL,NULL
